Name,Ac,Activate,Aggravate,AntiTheft,Blessed,Blows,BrandAcid,BrandCold,BrandElec,BrandFire,BrandPois,Category,Cha,Chance1,Chance2,Chance3,Chance4,Chaotic,Con,Cost,Cursed,Dd,Dex,DrainExp,DreadCurse,Ds,EasyKnow,Feather,FreeAct,FriendlyName,HeavyCurse,HideType,HoldLife,IgnoreAcid,IgnoreCold,IgnoreElec,IgnoreFire,ImAcid,ImCold,ImElec,ImFire,Impact,Infra,InstaArt,Int,KillDragon,Level,Lightsource,Locale1,Locale2,Locale3,Locale4,NoMagic,NoTele,PermaCurse,Pval,Reflect,Regen,ResAcid,ResBlind,ResChaos,ResCold,ResConf,ResDark,ResDisen,ResElec,ResFear,ResFire,ResLight,ResNether,ResNexus,ResPois,ResShards,ResSound,Search,SeeInvis,ShElec,ShFire,ShowMods,SlayAnimal,SlayDemon,SlayDragon,SlayEvil,SlayGiant,SlayOrc,SlayTroll,SlayUndead,SlowDigest,Speed,Stealth,Str,SubCategory,SustCha,SustCon,SustDex,SustInt,SustStr,SustWis,Telepathy,Teleport,ToA,ToD,ToH,Tried,Tunnel,Vampiric,Vorpal,Weight,Wis,Wraith,XtraMight,XtraShots,Character,Colour
Amulet:Reflection,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,0,0,0,False,False,30000,False,0,False,False,False,0,True,False,False,Reflection,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,60,False,60,0,0,0,False,False,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Resist Acid,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,300,False,0,False,False,False,0,True,False,False,Resist Acid,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Resistance,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,0,0,0,False,False,25000,False,0,False,False,False,0,False,False,False,Resistance,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,50,False,50,0,0,0,False,False,False,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Searching,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,0,0,0,False,False,600,False,0,False,False,False,0,False,False,False,Searching,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,False,30,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Slow Digestion,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,200,False,0,False,False,False,0,True,False,False,Slow Digestion,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,15,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Teleportation,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,250,True,0,False,False,False,0,True,False,False,Teleportation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,15,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,True,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:the Magi,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,3,0,0,False,False,30000,False,0,False,False,False,0,False,False,True,the Magi,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,50,False,50,80,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,False,False,False,False,False,False,False,False,3,0,0,False,False,False,False,3,False,False,False,False,£,Background
Arrow:Arrow,0,False,False,False,False,False,False,False,False,False,False,Arrow,False,1,1,0,0,False,False,1,False,1,False,False,False,4,False,False,False,& Arrow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,3,15,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,2,False,False,False,False,{,BrightBrown
Arrow:Seeker Arrow,0,False,False,False,False,False,False,False,False,False,False,Arrow,False,2,0,0,0,False,False,20,False,4,False,False,False,4,False,False,False,& Seeker Arrow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55,False,55,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,2,False,False,False,False,{,BrightGreen
Bolt:Bolt,0,False,False,False,False,False,False,False,False,False,False,Bolt,False,1,1,0,0,False,False,2,False,1,False,False,False,5,False,False,False,& Bolt~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,3,25,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,{,Grey
Bolt:Seeker Bolt,0,False,False,False,False,False,False,False,False,False,False,Bolt,False,4,0,0,0,False,False,25,False,4,False,False,False,5,False,False,False,& Seeker Bolt~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65,False,65,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,{,BrightBlue
Boots:Pair of Hard Leather Boots,3,False,False,False,False,False,False,False,False,False,False,Boots,False,1,0,0,0,False,False,12,False,1,False,False,False,1,False,False,False,& Pair~ of Hard Leather Boots,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,5,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,40,False,False,False,False,],BrightBrown
Boots:Pair of Metal Shod Boots,6,False,False,False,False,False,False,False,False,False,False,Boots,False,1,0,0,0,False,False,50,False,1,False,False,False,1,False,False,False,& Pair~ of Metal Shod Boots,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,80,False,False,False,False,],Grey
Boots:Pair of Soft Leather Boots,2,False,False,False,False,False,False,False,False,False,False,Boots,False,1,0,0,0,False,False,7,False,1,False,False,False,1,False,False,False,& Pair~ of Soft Leather Boots,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,3,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,20,False,False,False,False,],BrightBrown
Bottle:Empty Bottle,0,False,False,False,False,False,False,False,False,False,False,Bottle,False,1,0,0,0,False,False,1,False,1,False,False,False,1,False,False,False,& Empty Bottle~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,2,False,False,False,False,!,White
Bow:Heavy Crossbow,0,False,False,False,False,False,False,False,False,False,False,Bow,False,1,0,0,0,False,False,300,False,0,False,False,False,0,False,False,False,& Heavy Crossbow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,False,30,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,24,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,200,False,False,False,False,},Grey
Bow:Light Crossbow,0,False,False,False,False,False,False,False,False,False,False,Bow,False,1,0,0,0,False,False,140,False,0,False,False,False,0,False,False,False,& Light Crossbow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,15,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,23,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,110,False,False,False,False,},Grey
Bow:Long Bow,0,False,False,False,False,False,False,False,False,False,False,Bow,False,1,0,0,0,False,False,120,False,0,False,False,False,0,False,False,False,& Long Bow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,10,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,13,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,40,False,False,False,False,},BrightBrown
Bow:Short Bow,0,False,False,False,False,False,False,False,False,False,False,Bow,False,1,0,0,0,False,False,50,False,0,False,False,False,0,False,False,False,& Short Bow~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,3,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,},BrightBrown
Bow:Sling,0,False,False,False,False,False,False,False,False,False,False,Bow,False,1,0,0,0,False,False,5,False,0,False,False,False,0,False,False,False,& Sling~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,1,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,5,False,False,False,False,},Brown
ChaosBook:[Chaos Mastery],0,False,False,False,False,False,False,False,False,False,False,ChaosBook,False,1,0,0,0,False,False,1000,False,1,False,False,False,1,False,False,False,[Chaos Mastery],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,BrightRed
ChaosBook:[G'harne Fragments],0,False,False,False,False,False,False,False,False,False,False,ChaosBook,False,1,0,0,0,False,False,25000,False,1,False,False,False,1,False,False,False,[G'harne Fragments],False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,50,False,50,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,Red
ChaosBook:[Sign of Chaos],0,False,False,False,False,False,False,False,False,False,False,ChaosBook,False,1,0,0,0,False,False,100,False,1,False,False,False,1,False,False,False,[Sign of Chaos],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,10,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,BrightRed
ChaosBook:[The Book of Azathoth],0,False,False,False,False,False,False,False,False,False,False,ChaosBook,False,3,0,0,0,False,False,100000,False,1,False,False,False,1,False,False,False,[The Book of Azathoth],False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,100,False,100,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,Red
Chest:Large iron chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,150,False,2,False,False,False,6,False,False,False,& Large iron chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35,False,35,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,1000,False,False,False,False,~,Grey
Chest:Large steel chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,250,False,2,False,False,False,6,False,False,False,& Large steel chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55,False,55,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,1000,False,False,False,False,~,Grey
Chest:Large wooden chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,60,False,2,False,False,False,5,False,False,False,& Large wooden chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,15,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,500,False,False,False,False,~,Grey
Chest:Ruined chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,0,False,0,False,False,False,0,False,False,False,& Ruined chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,75,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,250,False,False,False,False,~,Grey
Chest:Small iron chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,100,False,2,False,False,False,4,False,False,False,& Small iron chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,False,25,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,300,False,False,False,False,~,Grey
Chest:Small steel chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,200,False,2,False,False,False,4,False,False,False,& Small steel chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,False,45,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,500,False,False,False,False,~,Grey
Chest:Small wooden chest,0,False,False,False,False,False,False,False,False,False,False,Chest,False,1,0,0,0,False,False,20,False,2,False,False,False,3,False,False,False,& Small wooden chest~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,5,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,250,False,False,False,False,~,Grey
Cloak:Cloak,1,False,False,False,False,False,False,False,False,False,False,Cloak,False,1,1,0,0,False,False,3,False,0,False,False,False,0,False,False,False,& Cloak~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,1,20,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,10,False,False,False,False,(,Green
Cloak:Elven Cloak,4,False,False,False,False,False,False,False,False,False,False,Cloak,False,4,0,0,0,False,False,1500,False,0,False,False,False,0,False,False,False,& Elven Cloak~,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,30,False,30,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,False,False,False,False,False,4,0,0,False,False,False,False,5,False,False,False,False,(,BrightGreen
Cloak:Shadow Cloak,6,False,False,False,False,False,False,False,False,False,False,Cloak,False,5,0,0,0,False,False,7500,False,0,False,False,False,0,False,False,False,& Shadow Cloak~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60,False,75,0,0,0,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,False,False,False,False,False,False,False,4,0,0,False,False,False,False,5,False,False,False,False,(,Black
CorporealBook:[Basic Chi Flow],0,False,False,False,False,False,False,False,False,False,False,CorporealBook,False,1,0,0,0,False,False,100,False,1,False,False,False,1,False,False,False,[Basic Chi Flow],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,10,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,Yellow
CorporealBook:[De Vermis Mysteriis],0,False,False,False,False,False,False,False,False,False,False,CorporealBook,False,1,0,0,0,False,False,25000,False,1,False,False,False,1,False,False,False,[De Vermis Mysteriis],False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,40,False,40,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,BrightYellow
CorporealBook:[Pnakotic Manuscripts],0,False,False,False,False,False,False,False,False,False,False,CorporealBook,False,3,0,0,0,False,False,100000,False,1,False,False,False,1,False,False,False,[Pnakotic Manuscripts],False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,90,False,90,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,BrightYellow
CorporealBook:[Yogic Mastery],0,False,False,False,False,False,False,False,False,False,False,CorporealBook,False,1,0,0,0,False,False,1000,False,1,False,False,False,1,False,False,False,[Yogic Mastery],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,?,Yellow
Crown:Golden Crown,0,False,False,False,False,False,False,False,False,False,False,Crown,False,1,0,0,0,False,False,1000,False,1,False,False,False,1,False,False,False,& Golden Crown~,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45,False,45,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,30,False,False,False,False,],Gold
Crown:Iron Crown,0,False,False,False,False,False,False,False,False,False,False,Crown,False,1,0,0,0,False,False,500,False,1,False,False,False,1,False,False,False,& Iron Crown~,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,False,45,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,20,False,False,False,False,],Grey
