Name,SplitName1,SplitName2,SplitName3,AcidBall,AcidBolt,Animal,ArmourClass,Arrow1D6,Arrow3D6,Arrow5D6,Arrow7D6,Attack1,Attack1DDice,Attack1DSides,Attack1Effect,Attack1Type,Attack2,Attack2DDice,Attack2DSides,Attack2Effect,Attack2Type,Attack3,Attack3DDice,Attack3DSides,Attack3Effect,Attack3Type,Attack4,Attack4DDice,Attack4DSides,Attack4Effect,Attack4Type,AttrAny,AttrClear,AttrMulti,BashDoor,Blindness,Blink,BrainSmash,BreatheAcid,BreatheChaos,BreatheCold,BreatheConfusion,BreatheDark,BreatheDisenchant,BreatheDisintegration,BreatheFire,BreatheForce,BreatheGravity,BreatheInertia,BreatheLight,BreatheLightning,BreatheMana,BreatheNether,BreatheNexus,BreathePlasma,BreathePoison,BreatheRadiation,BreatheShards,BreatheSound,BreatheTime,CauseCriticalWounds,CauseLightWounds,CauseMortalWounds,CauseSeriousWounds,ChaosBall,CharClear,CharMulti,ColdBall,ColdBlood,ColdBolt,Confuse,CreateTraps,Cthuloid,DarkBall,Darkness,Demon,Description,Dragon,DrainMana,DreadCurse,Drop_1D2,Drop_2D2,Drop_3D2,Drop_4D2,Drop60,Drop90,DropGood,DropGreat,EldritchHorror,EmptyMind,Escorted,EscortsGroup,Evil,Female,FireAura,FireBall,FireBolt,ForceMaxHp,ForceSleep,Forget,FreqInate,FreqSpell,FriendlyName,Friends,Giant,Good,GreatOldOne,Haste,Hdice,Heal,HitPoints,Hold,Hside,HurtByCold,HurtByFire,HurtByLight,HurtByRock,IceBolt,ImmuneAcid,ImmuneCold,ImmuneConfusion,ImmuneFear,ImmuneFire,ImmuneLightning,ImmunePoison,ImmuneSleep,ImmuneStun,Invisible,KillBody,KillItem,KillWall,Level,LightningAura,LightningBall,LightningBolt,MagicMissile,Male,ManaBall,ManaBolt,Mexp,MindBlast,MoveBody,Multiply,NetherBall,NetherBolt,NeverAttack,NeverMove,Nonliving,NoticeRange,OnlyDropGold,OnlyDropItem,OpenDoor,Orc,PassWall,PlasmaBolt,PoisonBall,PoisonBolt,Powerful,RadiationBall,RandomMove25,RandomMove50,Rarity,Reflecting,Regenerate,ResistDisenchant,ResistNether,ResistNexus,ResistPlasma,ResistTeleport,ResistWater,Scare,Shapechanger,ShardBall,Shriek,Sleep,Slow,Smart,Speed,Stupid,SummonAnt,SummonCthuloid,SummonDemon,SummonDragon,SummonGreatOldOne,SummonHiDragon,SummonHiUndead,SummonHound,SummonHydra,SummonKin,SummonMonster,SummonMonsters,SummonReaver,SummonSpider,SummonUndead,SummonUnique,TakeItem,TeleportAway,TeleportLevel,TeleportSelf,TeleportTo,Troll,Undead,Unique,WaterBall,WaterBolt,WeirdMind,Character,Colour
Aimless looking merchant,  Aimless   ,  looking   ,  merchant  ,False,False,False,1,False,False,False,False,Hit to Hurt (1d3),1,3,Hurt,Hit,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The typical ponce around town§ with purse jingling§ and looking for more amulets of adornment to buy.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,Aimless looking merchant,False,False,False,False,False,3,False,3d3 (avg. 5),False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,False,False,False,False,10,True,False,True,False,False,False,False,False,False,False,False,True,1,False,False,False,False,False,False,False,False,False,False,False,False,255,False,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,t,Orange
Air elemental,            ,    Air     , elemental  ,False,False,False,50,False,False,False,False,Hit to Hurt (1d10),1,10,Hurt,Hit,Hit to Confuse (1d4),1,4,Confuse,Hit,Hit to Hurt (1d10),1,10,Hurt,Hit,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,It is a towering tornado of winds.,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,8,8,Air elemental,False,False,False,False,False,30,False,30d5 (avg. 90),False,5,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,34,False,False,True,False,False,False,False,390,False,False,False,False,False,False,False,False,12,False,False,False,False,False,False,False,False,True,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,50,False,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,E,BrightBlue
Air hound,            ,    Air     ,   hound    ,False,False,True,30,False,False,False,False,Bite to Hurt (1d8),1,8,Hurt,Bite,Bite to Hurt (1d8),1,8,Hurt,Bite,Claw to Hurt (3d3),3,3,Hurt,Claw,Claw to Hurt (3d3),3,3,Hurt,Claw,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Swirling vapours surround this beast as it floats towards you§ seemingly walking on air. Noxious gases sting your throat.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,10,Air hound,True,False,False,False,False,15,False,15d8 (avg. 67),False,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20,False,False,False,False,False,False,False,200,False,False,False,False,False,False,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Z,BrightBlue
Air spirit,            ,    Air     ,   spirit   ,False,False,False,40,False,False,False,False,Hit to Hurt (1d3),1,3,Hurt,Hit,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,A whirlwind of sentient air.,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,0,Air spirit,False,False,False,False,False,8,False,8d8 (avg. 36),False,8,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,12,False,False,False,False,False,False,False,40,False,False,False,False,False,False,False,False,12,False,False,False,False,False,False,False,False,False,False,True,True,2,False,False,False,False,False,False,False,False,False,False,False,False,20,False,False,130,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,E,Diamond
Alberich§ the Nibelung King,            ,            ,  Alberich  ,True,True,False,80,False,False,False,False,Hit to UnBonus (3d12),3,12,UnBonus,Hit,Hit to UnBonus (3d12),3,12,UnBonus,Hit,Touch to EatGold (0d0),0,0,EatGold,Touch,Touch to EatGold (0d0),0,0,EatGold,Touch,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Made invisible with his magic§ the greedy dwarf plots for world domination through his riches.,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,6,6,Alberich§ the Nibelung King,False,False,False,False,False,80,True,80d11 (max. 880),False,11,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,False,27,False,False,False,False,True,False,False,1000,False,False,False,False,False,False,False,False,20,False,True,True,False,False,False,False,False,False,False,False,False,4,False,False,True,False,False,False,True,False,True,False,False,False,20,False,False,120,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,h,Gold
Algroth,            ,            ,  Algroth   ,False,False,False,60,False,False,False,False,Claw to Poison (3d3),3,3,Poison,Claw,Claw to Poison (3d3),3,3,Poison,Claw,Bite to Hurt (1d6),1,6,Hurt,Bite,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A powerful troll form. Venom drips from its needlelike claws.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,Algroth,True,False,False,False,False,21,False,21d12 (avg. 136),False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,False,False,False,False,False,False,False,150,False,False,False,False,False,False,False,False,20,False,False,True,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,40,False,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,T,Grey
Ancalagon the Black, Ancalagon  ,    the     ,   Black    ,False,False,False,125,False,False,False,False,Claw to Hurt (5d12),5,12,Hurt,Claw,Claw to Hurt (6d12),6,12,Hurt,Claw,Claw to Hurt (8d12),8,12,Hurt,Claw,Bite to Hurt (10d14),10,14,Hurt,Bite,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,'Rushing Jaws' is his name§ and death is his game. No dragon of the brood of Glaurung can match him.,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,2,2,Ancalagon the Black,False,False,False,False,False,75,False,75d100 (max. 7500),False,100,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,58,False,False,False,False,True,False,False,30000,False,True,False,False,False,False,False,False,20,False,True,True,False,False,False,False,False,True,False,False,False,3,False,False,False,False,False,False,False,False,True,False,False,False,70,False,False,120,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,D,Black
Ancient black dragon,  Ancient   ,   black    ,   dragon   ,False,False,False,90,False,False,False,False,Claw to Hurt (4d9),4,9,Hurt,Claw,Claw to Hurt (4d9),4,9,Hurt,Claw,Bite to Acid (5d10),5,10,Acid,Bite,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,A huge draconic form. Pools of acid melt the floor around it.,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,9,9,Ancient black dragon,False,False,False,False,False,72,False,72d10 (max. 720),False,10,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,39,False,False,False,False,False,False,False,2500,False,True,False,False,False,False,False,False,20,False,False,False,False,False,False,False,False,True,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,70,False,True,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,D,Black
Ancient blue dragon,  Ancient   ,    blue    ,   dragon   ,False,False,False,80,False,False,False,False,Claw to Hurt (4d8),4,8,Hurt,Claw,Claw to Hurt (4d8),4,8,Hurt,Claw,Bite to EatGold (5d8),5,8,EatGold,Bite,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,A huge draconic form. Lightning crackles along its length.,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,9,9,Ancient blue dragon,False,False,False,False,False,70,False,70d10 (max. 700),False,10,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,38,False,False,False,False,False,False,False,1500,False,True,False,False,False,False,False,False,20,False,False,False,False,False,False,False,False,True,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,80,False,True,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,D,Blue
Ancient bronze dragon,  Ancient   ,   bronze   ,   dragon   ,False,False,False,100,False,False,False,False,Claw to Hurt (4d8),4,8,Hurt,Claw,Claw to Hurt (4d8),4,8,Hurt,Claw,Bite to Cold (5d10),5,10,Cold,Bite,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,A huge draconic form enveloped in a cascade of colour.,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,Ancient bronze dragon,False,False,False,False,False,73,False,73d10 (max. 730),False,10,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,38,False,False,False,False,False,False,False,1700,False,True,False,False,False,False,False,False,20,False,False,False,False,False,False,False,False,True,False,False,False,2,False,False,False,False,False,False,False,False,True,False,False,False,200,False,True,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,D,BrightBrown
